     T      ECE  mean_conf      acc
  0.50    0.369      0.747    0.378
  0.70    0.266      0.645    0.378
  1.00    0.123      0.501    0.378
  1.20    0.083      0.415    0.378
  1.50    0.102      0.309    0.378
  2.00    0.182      0.200    0.378
  3.00    0.264      0.114    0.378
  5.00    0.309      0.069    0.378
