     T      ECE  mean_conf      acc
  0.50    0.007      0.988    0.981
  0.70    0.018      0.966    0.981
  1.00    0.132      0.849    0.981
  1.20    0.258      0.722    0.981
  1.50    0.448      0.533    0.981
  2.00    0.659      0.322    0.981
  3.00    0.822      0.159    0.981
  5.00    0.899      0.082    0.981
