     T      ECE  mean_conf      acc
  0.50    0.111      0.889    0.778
  0.70    0.053      0.831    0.778
  1.00    0.087      0.697    0.778
  1.20    0.193      0.588    0.778
  1.50    0.341      0.438    0.778
  2.00    0.507      0.272    0.778
  3.00    0.636      0.142    0.778
  5.00    0.701      0.077    0.778
