     T      ECE  mean_conf      acc
  0.50    0.539      0.727    0.188
  0.70    0.421      0.609    0.188
  1.00    0.267      0.455    0.188
  1.20    0.190      0.374    0.188
  1.50    0.113      0.283    0.188
  2.00    0.090      0.192    0.188
  3.00    0.077      0.117    0.188
  5.00    0.112      0.076    0.188
