split,method,accuracy,MCC,F1,precision,recall,balanced_accuracy,F1_macro,precision_macro,recall_macro,n
10,bgf,0.18664265243936973,0.131346557555418,0.1438809258343414,0.2691617478547108,0.18664265243936973,0.1264438672328903,0.10199254645588199,0.22884038123782954,0.1264438672328903,88281
10,hmm,0.07363985455534033,0.03355717807426907,0.07963630844562855,0.1377481005301437,0.07363985455534033,0.09569812268090463,0.05198761341879753,0.07111944027628428,0.09569812268090463,88281
10,diamond,0.1186098934085477,0.07156656044811896,0.10880028703780344,0.15551877383077609,0.1186098934085477,0.1274226273099954,0.07598701451735582,0.11400146577836158,0.1274226273099954,88281
20,bgf,0.2000909123533141,0.1508381360884486,0.20411793524890073,0.34467679468836177,0.2000909123533141,0.13766210640053006,0.12107128274502692,0.2519997408779248,0.13766210640053006,83597
20,hmm,0.11803055133557425,0.0875177528533785,0.12952777007936067,0.2805120716708936,0.11803055133557425,0.11896876789932277,0.09958090375913302,0.14697565449575906,0.11896876789932277,83597
20,diamond,0.14389272342308934,0.10846432297944475,0.17016515826959866,0.32842311176964345,0.14389272342308934,0.11751124869786674,0.11292774878075731,0.2260222190843832,0.11751124869786674,83597
30,bgf,0.24504950495049505,0.2023267320955382,0.284480419004386,0.4762152459742029,0.24504950495049505,0.18381520950643784,0.15324341976370456,0.2635084237867401,0.18381520950643784,85244
30,hmm,0.2080732954812069,0.16551369828162432,0.23844815733151786,0.38967640105744183,0.2080732954812069,0.17539456741158918,0.1374318128557261,0.16517529356637964,0.17539456741158918,85244
30,diamond,0.20300549012247196,0.1623250319135558,0.2394153679567609,0.38460909974557655,0.20300549012247196,0.1639283578958751,0.13808623165584694,0.19867425016898446,0.1639283578958751,85244
40,bgf,0.37822572138206156,0.33905158050167766,0.37882765670778573,0.49819887632377835,0.37822572138206156,0.3007985743673535,0.2663623027422578,0.3755817015362581,0.3007985743673535,104279
40,hmm,0.3275827347788145,0.29978174347527486,0.32968069106706355,0.4414760990179365,0.3275827347788145,0.3063357742572694,0.23182228279278572,0.23327283980958075,0.3063357742572694,104279
40,diamond,0.34015477708838787,0.31264996755081714,0.36310547048928815,0.4928547433057784,0.34015477708838787,0.29940000336799216,0.27553141286902527,0.35834702436551114,0.29940000336799216,104279
50,bgf,0.7790019112955386,0.7642746561514124,0.7728809521775115,0.821763531746153,0.7790019112955386,0.6617120952850922,0.6265645457142384,0.6790331684216975,0.6617120952850922,137603
50,hmm,0.9312006278932872,0.9269582225689407,0.9499380568334059,0.9815141663822514,0.9312006278932872,0.8264287135106605,0.8511887209149966,0.926539281613139,0.8264287135106605,137603
50,diamond,0.9322180475716373,0.926757274196381,0.9334185946776392,0.94760724137146,0.9322180475716373,0.8379820518055885,0.835844316777229,0.8799786608472188,0.8379820518055885,137603
60,bgf,0.9439731729562552,0.9393471479457778,0.9415098456872851,0.9497582697111028,0.9439731729562552,0.8808719224293743,0.8627995575002486,0.8808181631746888,0.8808719224293743,145823
60,hmm,0.9807780665601449,0.9792392125135495,0.985910441579111,0.9914436660060618,0.9807780665601449,0.9559845249107217,0.9600587955924305,0.9658667591837454,0.9559845249107217,145823
60,diamond,0.9677005684974249,0.9653140915351529,0.9782444909809123,0.9902614795007334,0.9677005684974249,0.9355787387635003,0.9503062314201931,0.9686651946834106,0.9355787387635003,145823
70,bgf,0.9709606423302132,0.9684180739241269,0.9707656920130483,0.9714990260127128,0.9709606423302132,0.9212334470323299,0.9258465007231454,0.9347141654185348,0.9212334470323299,147214
70,hmm,0.9844512070862825,0.9831438119260996,0.9886811492820619,0.9933537811209672,0.9844512070862825,0.9646709835910049,0.9665428423262229,0.9721913144614809,0.9646709835910049,147214
70,diamond,0.9833847324303395,0.9820036065880355,0.9884036584693385,0.9938793458222963,0.9833847324303395,0.9635019193604841,0.9690151181581624,0.9767374723466065,0.9635019193604841,147214
80,bgf,0.9773814437174811,0.9750956077641089,0.9772096487721074,0.9779432306209386,0.9773814437174811,0.9191682937341815,0.9291609398603359,0.9610046215829049,0.9191682937341815,147799
80,hmm,0.9879295529739714,0.9867455902582397,0.9915735841677663,0.9954599791195852,0.9879295529739714,0.9727776463112063,0.9710646902145766,0.9719686275103435,0.9727776463112063,147799
80,diamond,0.9878957232457595,0.9867108523550252,0.9917116680687951,0.9956318795434872,0.9878957232457595,0.9678074004229157,0.9748654212179759,0.9822478507510995,0.9678074004229157,147799
90,bgf,0.9812959733567598,0.9794252977611146,0.9813429725931053,0.981953387822768,0.9812959733567598,0.9385585994881444,0.9422966075326564,0.967593377266362,0.9385585994881444,152534
90,hmm,0.988251799598778,0.9871077565100037,0.991785322822246,0.9954827814467831,0.988251799598778,0.9756590146143436,0.9779944308262666,0.9808981492642772,0.9756590146143436,152534
90,diamond,0.9897399923951381,0.9887362195200478,0.9928820039616632,0.9960812750253697,0.9897399923951381,0.9768386470637641,0.9820097838401135,0.9874070250475717,0.9768386470637641,152534
