sim_id,esm_ckpt,embedding_col,eval_split,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,top3_acc,top5_acc,n_train,n_eval,fit_seconds
10,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.07814818590636717,0.09321520898897986,0.060300308867530135,0.0580651176161193,0.05214191510626591,0.19885366047054293,0.33702608715352117,473005,88281,171.8
10,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.083585369445294,0.0963377240250091,0.07192326121826577,0.08194523562602528,0.03850926139926584,0.22913197630294174,0.33473793908088945,473005,88281,88.2
10,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.07974535857092693,0.08624793082531197,0.07265342215581135,0.07340201705357692,0.03351733452374695,0.18906673010047462,0.274781663098515,473005,88281,0.3
20,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.04778879624866921,0.05699318000228119,0.03949477700713726,0.04996216971581179,0.026247775220554083,0.18456403937940358,0.2774022991255667,495285,83597,189.6
20,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.08392645669102958,0.09652848697888779,0.07264664156035572,0.08855006316076793,0.049813235960032405,0.21698147062693637,0.3363757072622223,495285,83597,116.9
20,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.06739476296996304,0.07263683809952237,0.04537380840302194,0.0697016803199456,0.03193017724605814,0.17492254506740673,0.22204146081797194,495285,83597,0.3
30,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.10969687016094974,0.08428939010761412,0.07707396571664357,0.13382400104091938,0.07635616206437389,0.3716390596405612,0.49961287597954107,498974,85244,187.6
30,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.18052883487400873,0.12849125016132412,0.10647688191906551,0.20946386732741254,0.13716077660317666,0.3544061752146779,0.467000610013608,498974,85244,128.6
30,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.1315869738632631,0.10600930496403106,0.08800861280519122,0.15244782720457278,0.07736133537801239,0.31656186945708786,0.36917554314673173,498974,85244,0.3
40,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.1713576079555807,0.17428051473446718,0.1534207173373901,0.17586861247607055,0.15381869430847764,0.3492745423335475,0.4445669789698789,504225,104279,190.7
40,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.2157193682332972,0.21250025777348974,0.1717590579517507,0.2276206914415319,0.1799077696318432,0.38708656584739015,0.4982402976630002,504225,104279,137.3
40,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.2079325655213418,0.1918770785394942,0.16797707159460484,0.21821169705172647,0.17112451090328049,0.3475484038013406,0.394336347682659,504225,104279,0.3
50,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.43682913889958797,0.35865592853965067,0.36565636752592545,0.45107708330300467,0.4280974613224325,0.6640334876419846,0.7766618460353335,475127,137603,194.4
50,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.561099685326628,0.5254110745289974,0.4294111524146026,0.5728293173556105,0.5370261617037226,0.7262341664062557,0.8039141588482809,475127,137603,145.0
50,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.44367491987820035,0.38987447309863593,0.3498535001345938,0.45157595655456484,0.41426494304013983,0.7235016678415441,0.7837547146501166,475127,137603,0.3
60,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.7575416772388444,0.6681768490844516,0.703813197055348,0.756716308991643,0.7423960684446653,0.9067362487399108,0.9371498323309766,463467,145823,188.8
60,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.7951283405224142,0.7953254359796338,0.723197955247163,0.8031622547159227,0.7806309122110671,0.912606378966281,0.9435960033739533,463467,145823,116.5
60,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.7946277336222681,0.7124728937684244,0.7085820884713809,0.7932263974181031,0.7782103285836066,0.9229956865515042,0.9424850675133553,463467,145823,0.3
70,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.900485008219327,0.8153646677291814,0.8553679824899464,0.8995936158939332,0.8919393543907957,0.9589169508334805,0.9738408031844797,458907,147214,182.7
70,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.8877076908446208,0.8702536818515532,0.8049993256903185,0.8914804860069797,0.8786247429978167,0.9567296588639668,0.9710285706522478,458907,147214,128.6
70,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.9153205537516812,0.8500527736191551,0.8481571970355146,0.9147574948435585,0.9078180949592072,0.9646636868776067,0.9747102857065225,458907,147214,0.3
80,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.929119953450294,0.8335710643226788,0.8695251673490206,0.9281829956978089,0.9218662220421946,0.9710146888679896,0.9827333067206138,458966,147799,180.2
80,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.9054797393757739,0.8831487874158728,0.8206566154853701,0.9087889897896814,0.8967478331431319,0.9634774254223641,0.9759538291869363,458966,147799,152.9
80,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.9402093383581757,0.866020593067255,0.8775642640910699,0.9399360311011968,0.9340971356270874,0.9761703394474929,0.9835790499259129,458966,147799,0.3
90,facebook/esm2_t6_8M_UR50D,embedding_mid,test,rf,0.9410033172931936,0.8737509852123085,0.9094925042047843,0.9405611019176452,0.9350483504213238,0.9768051713060695,0.9857736635766452,458927,152534,179.9
90,facebook/esm2_t6_8M_UR50D,embedding_mid,test,logreg,0.9182805145082408,0.912725521789954,0.8518467134918344,0.9209003291134389,0.9106898331273482,0.9684857146603381,0.9794275374670566,458927,152534,158.2
90,facebook/esm2_t6_8M_UR50D,embedding_mid,test,knn,0.9495128954855967,0.8870589790136345,0.9018407770428654,0.9492282556217067,0.944389093147526,0.9804437043544391,0.9867504949716129,458927,152534,0.3
10,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.11742050950940747,0.10935455430352621,0.09235521073611472,0.11008566596587852,0.1055435680343634,0.2796977832149613,0.3802516962879895,473005,88281,247.4
10,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.1355444546391636,0.11452576778082237,0.10005416670437833,0.12717290112939142,0.09575167374176483,0.2530102740113954,0.3756074353484895,473005,88281,114.6
10,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.12898585199533308,0.10302929381850144,0.07858866968947206,0.10565142575294151,0.08007985630331076,0.2724028953002345,0.3580498635040382,473005,88281,0.3
20,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.11415481416797253,0.09554868731387169,0.09726664118517732,0.15825031435559822,0.11915110720234438,0.2788257951840377,0.385803318300896,495285,83597,261.1
20,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.13934710575738363,0.1109608941291159,0.1035672997257343,0.16602038958416057,0.10364323247286192,0.2510377166644736,0.380946684689642,495285,83597,144.1
20,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.18280560307188057,0.12541737904191144,0.11425543793475984,0.19941178744836593,0.15111092561388953,0.29511824587006713,0.33806237065923417,495285,83597,0.3
30,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.12744591994744497,0.11423885106033667,0.10736455571574206,0.16072768577071805,0.10814157909224628,0.3831237389141758,0.542349021632021,498974,85244,259.3
30,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.18664070198489044,0.13831510217488205,0.12209348853924773,0.23116055108462832,0.14848919585081938,0.35320961006053214,0.4457674440429825,498974,85244,163.8
30,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.1820186758012294,0.1416649848901708,0.13830006911908396,0.21841877800209739,0.13453289747433192,0.3259701562573319,0.358582422223265,498974,85244,0.3
40,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.31402295764247834,0.2586500392612887,0.24198804379023084,0.3490310853703243,0.3108529437784549,0.48039394317168366,0.5971288562414292,504225,104279,256.0
