predicted_label,10,20,30,40,50,60,70,80,90
SOX,0.4040333796940195,0.017857142857142856,,0.9961715160796325,0.9066205533596838,0.8892703862660944,0.9730085582620145,0.9881235154394299,0.9896988906497622
aceti_met,0.026878771256171146,0.007952286282306162,0.027690371302706105,0.021021021021021023,0.9487179487179487,0.9878649981039059,0.9807644882860665,0.9847573204973927,0.9861200085415333
assnitred,0.00048192771084337347,0.0,0.0,0.011467889908256881,0.541871921182266,0.30198019801980197,0.9196261682242991,0.8875432525951558,0.9416809605488851
asssulred,0.007880434782608695,0.012804183146745324,0.06152474364690147,0.06571304724750758,0.7115158636897767,0.8955778520995912,0.9835922753012923,0.9844568339246494,0.900883218842002
cenmetpat,0.35714285714285715,,0.15384615384615385,0.313953488372093,0.29653505237711525,0.8621134020618557,0.9665178571428571,0.9079754601226994,0.9476744186046512
"cenmetpat,aom",0.18017782426778242,0.1799403747870528,0.22491058278981696,0.2985261054209343,0.24647656506063587,0.8979921118680531,0.9138103828422529,0.9627049180327869,0.9656444099378882
denitrification,,0.7096774193548387,0.8097902097902098,0.7031551835157759,0.8965773809523809,0.9717987804878049,0.8065395095367848,0.844488188976378,0.8710888610763454
dissnitred,0.004975124378109453,0.008484848484848486,0.06544502617801047,0.01805337519623234,0.7016574585635359,0.36875,0.8752260397830018,0.9452054794520548,0.9765625
dsro,1.0,,1.0,1.0,0.43410852713178294,0.8640226628895185,0.777511961722488,0.9437086092715232,0.9782312925170068
in_or_sul,0.022504006131122415,0.26490066225165565,0.0636281002467212,0.2659130434782609,0.49323076923076925,0.7908737024221453,0.997610408000708,0.9437982264194403,0.976718539394682
methyl_met,0.0,,0.0,0.8852459016393442,0.38757062146892657,0.872791519434629,0.6942800788954635,0.9746478873239437,0.9787798408488063
nitfix,,0.875,0.2916666666666667,0.2222222222222222,0.6378378378378379,0.9635157545605307,0.967948717948718,0.9831365935919055,0.9667673716012085
nitrification,,,,,0.95,0.5741935483870968,0.5565217391304348,0.84,0.9294117647058824
nitrogen_other,,,,,,,0.9454545454545454,1.0,1.0
odegsyn,0.2899383983572895,0.4501043841336117,0.19023865414710486,0.38176833447566827,0.632647015256999,0.9528329439252337,0.9716103768967205,0.9725750046015093,0.9905773513791332
org_phos_hyd,1.0,0.8181818181818182,0.5714285714285714,0.8411647915287889,0.9992917847025495,0.9836670179135932,0.9949399114484504,0.9914772727272727,0.9958706125258087
org_sul_trans,0.07736863880844022,0.11417176776108329,0.03929471032745592,0.2611683848797251,0.6950023353573097,0.7594728171334432,0.8958064516129032,0.9596742153357172,0.9840561224489796
ox_phosphorylation,0.0,0.0,0.0,0.012371134020618556,0.520048602673147,0.9890499194847021,0.9964100518548066,0.9845727848101266,0.9962797619047619
oxid_formaldehyde,,0.23159960745829244,,0.6695346108721157,0.9798145117294054,0.9211678832116789,0.983249581239531,0.9899074852817493,0.9799405646359584
oxid_formate,0.0,0.0,0.003076923076923077,0.1824953445065177,0.09561752988047809,0.9367194004995837,0.896045197740113,0.7976031957390146,0.9300613496932515
oxid_met_c1,0.0,0.002555677254472435,0.05029585798816568,0.03663003663003663,0.9516129032258065,0.8961105424769703,0.9461318051575931,0.9751677852348993,0.9731585518102372
pentose,0.0,0.0,0.0005173305742369374,0.003510825043885313,0.8723369387086202,0.9991059454626732,0.9978319783197832,0.9942059520674217,1.0
phos_other,,,,,1.0,1.0,1.0,1.0,1.0
phosph_met,0.0051813471502590676,0.02857142857142857,0.0851063829787234,0.0,0.13424657534246576,0.9968496849684968,0.9935483870967742,0.9949748743718593,0.9832429768358797
phosphotransferase,,,,,,0.9789768745620182,0.978494623655914,0.9965576592082617,0.9990521327014218
purine,0.09476824231298761,0.06975456726333272,0.036730793202310215,0.2531412296867147,0.6110034642710351,0.9752288147169983,0.9838998852553069,0.992270983985713,0.9972569961189414
pyrimidine,0.29854107199492547,0.4586796485395393,0.8548525010688328,0.7153386565414037,0.9070751350800286,0.9766984298445276,0.9871357888949972,0.9925558312655087,0.9899806076276665
pyruvate,0.588034188034188,0.0881057268722467,0.3574635241301908,0.7722878625134264,0.9998388915740293,1.0,0.9991026024528866,0.9987971130713713,0.9974443227455275
rump,0.5832926233512458,1.0,0.968939393939394,0.9872185027388922,0.9494549058473737,0.9664582148948266,0.9486952675807165,0.9946337536892943,0.9871436556735607
serine,0.3221248434984797,0.04610951008645533,0.4478969957081545,0.10268857356235997,0.7270315417117028,0.9471504931114959,0.9539260856778747,0.9644688644688645,0.9790093026953963
sul_other,0.2050447518307567,0.3851080864691753,0.15984405458089668,0.056569812291077395,0.7985546522131888,0.980466472303207,0.9642908567314615,0.8898448043184886,0.9655592276917725
sulfur_dis,,,,,,,,1.0,1.0
sulfur_ox,0.0,0.9611650485436893,0.4212678936605317,0.6801820438560199,0.808531109685696,0.9769041769041769,0.9843648208469056,0.986159169550173,0.9764309764309764
sulred,,0.007241606319947334,0.03023758099352052,0.24724061810154527,0.31095406360424027,0.511164274322169,0.9114391143911439,0.9366197183098591,0.7187878787878788
transporters,0.48148148148148145,0.8220264317180617,0.9895596913300045,0.6382791922739245,0.9414841451454724,0.9599767137243487,0.9706381079875056,0.9944028080827246,0.9822230717767371
two_comp,,,,,0.999861120755503,0.999072011878248,0.9990221642764016,0.9991508152173914,0.9980240408364894
