     T      ECE  mean_conf      acc
  0.50    0.026      0.970    0.944
  0.70    0.021      0.942    0.944
  1.00    0.115      0.831    0.944
  1.20    0.229      0.715    0.944
  1.50    0.405      0.539    0.944
  2.00    0.611      0.333    0.944
  3.00    0.777      0.167    0.944
  5.00    0.858      0.086    0.944
