     T      ECE  mean_conf      acc
  0.50    0.508      0.709    0.201
  0.70    0.368      0.569    0.201
  1.00    0.199      0.400    0.201
  1.20    0.131      0.319    0.201
  1.50    0.075      0.235    0.201
  2.00    0.064      0.157    0.201
  3.00    0.103      0.097    0.201
  5.00    0.137      0.064    0.201
