     T      ECE  mean_conf      acc
  0.50    0.009      0.986    0.977
  0.70    0.012      0.970    0.977
  1.00    0.096      0.882    0.977
  1.20    0.204      0.773    0.977
  1.50    0.388      0.589    0.977
  2.00    0.616      0.361    0.977
  3.00    0.802      0.175    0.977
  5.00    0.890      0.087    0.977
