     T      ECE  mean_conf      acc
  0.50    0.539      0.784    0.245
  0.70    0.439      0.684    0.245
  1.00    0.286      0.531    0.245
  1.20    0.196      0.439    0.245
  1.50    0.096      0.328    0.245
  2.00    0.059      0.213    0.245
  3.00    0.123      0.122    0.245
  5.00    0.171      0.073    0.245
